,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,id,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,specimen_id,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
210,,6.395,20.6300011796,1.14340743022,0.006465,11.12076,0.00830166666667,-74.5625076294,-65.5625050863,-74.2500038147,False,False,False,486521822,125.796392,4.495,0.00592,11.1200566667,0.0033275,17.03125,9.61458365122,7.64062523842,486518079,56,97.031212756,0.0425121710841,2.434409984,0.010925,11.1250683333,0.404370833333,-55.75,-57.4687525431,-77.6145846049,486514107,5.80596270033,320.0,278.041666667,469.999969482,0.005665,11.119745,0.00307,-51.4375,-35.6250025431,-51.0052108765,486518061,0.006465,11.12076,0.404370833333,-74.5625076294,-65.5625050863,-77.6145846049,1.13061463409,1.07889107279,1.32626515682,-88.46875,-77.4585465325
211,,8.66,33.4387482981,0.381225531328,0.00683,7.550035,0.003473,-66.6562576294,-53.9375038147,-65.6187545776,False,False,False,488502550,123.597064,3.76,0.00624,7.54903,0.00282,29.0000019073,-0.937500059605,28.8750007629,488502124,44,168.12496348,0.0475603071295,1.475259904,0.01124,7.55405,0.564862,-48.0625038147,-42.0625038147,-61.4812530518,488501487,6.87296614029,150.0,188.75,260.0,0.00596,7.54853,0.002525,-38.0000038147,-32.21875,-41.6500022888,488502102,0.00683,7.550035,0.003473,-66.6562576294,-53.9375038147,-65.6187545776,1.11601433723,0.724581899447,1.19060921082,-79.21875,-60.3888201396
212,0.0273849560216,71.7215384615,-135.128117029,0.174048919645,0.161945,3.50153833333,0.00838625,-42.0000038147,-44.5833346049,-52.0078163147,False,False,False,476056923,173.020224,62.11,0.15697,3.496595,0.003425,39.0625,46.2500012716,49.2343769073,476056696,30,158.125039828,0.0451265343385,3.024148992,0.196515,3.54126833333,0.30515375,-47.5625038147,-49.6354192098,-73.210943222,476056333,18.7468755527,90.0,87.4583333333,760.0,0.15641,3.49609666667,0.00299125,-30.5937519073,-33.3541679382,-42.8515644073,476056700,0.196515,3.54126833333,0.30515375,-47.5625038147,-49.6354192098,-73.210943222,4.08190290329,4.22235725517,4.00422926708,-89.28125,-72.2956497886
213,0.0460790482526,97.0,23.7975004286,0.131868145377,0.13907,4.98384166667,0.0085025,-43.2812538147,-44.8229192098,-49.0859384537,False,False,False,478890939,106.459784,61.11,0.134075,4.97887166667,0.0035425,31.0625,33.28125,27.1562509537,478889870,49,113.281252675,0.0993678229679,1.577855488,0.18495,5.024445,0.2425375,-52.6250038147,-53.708337148,-72.7656288147,478888052,19.3502619683,110.0,124.500010173,1070.0,0.13358,4.97838333333,0.0031,-33.8437538147,-34.5208346049,-42.6484384537,478889876,0.18495,5.024445,0.2425375,-52.6250038147,-53.708337148,-72.7656288147,3.13902597811,3.08353266206,3.06844870839,-85.9687576294,-72.3882694244
214,0.00109337586344,9.34481132075,-38.4575010726,0.916073347495,0.01246,,0.0083325,-57.6875038147,,-63.15625,False,False,False,473862284,295.977024,6.93,0.01151,,0.00337916666667,15.46875,,19.2760419846,396317569,38,161.718859948,0.0259754951443,1.259464192,0.01653,,0.122229166667,-48.34375,,-74.2552096049,318331342,8.58568219983,210.0,,440.0,0.01117,,0.0030575,-34.5,,-44.8906256358,396317575,0.01246,,0.122229166667,-57.6875038147,,-74.2552096049,1.4783319093,,1.58887964946,-93.03125,-73.888367046
215,0.00266888703043,13.6514925373,-3.57937507758,0.745041425476,0.70288,15.033695,0.008185,-53.3750038147,-53.239587148,-65.0750030518,False,True,False,477492197,89.818896,77.545,0.70217,15.032895,0.003204,10.1562509537,14.489584287,25.2875011444,477491512,82,81.8749640495,0.067162887167,3.956348416,0.707175,15.03791,0.294022,-46.6875038147,-51.0104204814,-70.8187530518,477490421,6.77564816903,410.0,375.875,790.0,0.70188,15.0325883333,0.002961,-28.2812519073,-27.4166679382,-42.6500022888,477491456,0.70288,15.033695,0.294022,-53.3750038147,-53.239587148,-70.8187530518,1.00861739284,1.02491811544,1.24022924333,-88.78125,-70.4623093605
216,0.0108590645751,52.0844444444,-62.4618759493,0.239757328039,0.605215,3.4614475,0.00841916666667,-51.59375,-52.2343769073,-58.4270833333,False,False,False,464364246,198.45928,16.285,0.600235,3.45648,0.00343166666667,17.0,20.328125,29.567709287,464260043,67,152.812536839,0.0406909824378,1.422049792,0.611675,3.46788,0.244180833333,-53.90625,-55.1562519073,-67.2500012716,326734770,8.69715213179,100.0,86.4375,440.0,0.599665,3.4559725,0.0030475,-34.15625,-35.0312519073,-41.5937512716,464260031,0.611675,3.46788,0.244180833333,-53.90625,-55.1562519073,-67.2500012716,2.48111296369,3.01075259145,2.53467006361,-83.59375,-66.5101577095
217,0.230104987829,142.37875,29.0106254991,0.0711916134486,0.296755,6.027245,0.00834375,-44.5625038147,-46.3854192098,-49.8515625,False,False,False,479015391,87.846744,82.995,0.291885,6.02233,0.00338875,37.34375,44.2812512716,41.328127861,479013578,59,115.156289262,0.131897700358,2.522516992,0.37283,6.08250166667,0.156775,-56.5937538147,-54.4687538147,-76.8515663147,479010903,23.4442222324,130.0,150.625,1370.0,0.291405,6.02188833333,0.0029475,-36.3437538147,-38.65625,-51.3671913147,479013584,0.37283,6.08250166667,0.156775,-56.5937538147,-54.4687538147,-76.8515663147,3.64082168378,3.83494747773,3.95216694895,-98.125,-76.3925182458
218,,32.18,-17.574998748,0.079897789438,0.071615,6.304145,0.00835,-57.90625,-55.7708358765,-60.8937530518,False,False,,473732860,194.24152,28.69,0.07047,6.30296833333,0.003368,37.0,32.0833352407,36.8187507629,473660949,34,197.343675631,0.0689195933365,2.33018752,0.07547,6.30804,0.63433,-52.40625,-50.333337148,-74.5375061035,473593847,18.9747379749,130.0,157.625,600.0,0.07007,6.30250666667,0.002999,-40.4062538147,-33.9791679382,-42.9562515259,473660953,0.071615,6.304145,0.63433,-57.90625,-55.7708358765,-74.5375061035,1.96891041411,1.6040711532,1.83776846209,-95.7500076294,-74.2608096783
219,0.0122443751468,66.1728571429,32.3800014579,0.24998507017,1.08936,4.32714666667,1.02529,-50.40625,-51.6250012716,-53.6562519073,False,False,False,509716559,189.283568,0.03964,1.08686,4.32447333333,1.02346,39.7500038147,40.59375,43.5520846049,509694901,40,163.59385848,0.0291495863348,1.515819264,1.0987,4.34536666667,1.78625666667,-54.0,-58.1666679382,-80.161462148,502260112,31.3002813538,170.0,82.5833333333,0.0,1.08644,4.32403333333,1.02307666667,-36.9375,-35.0208346049,-48.8177102407,509694913,1.0987,4.34536666667,1.78625666667,-54.0,-58.1666679382,-80.161462148,3.91666800578,3.70143030909,4.30097854923,-97.2500076294,-79.1894607544
