,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,fast_trough_v_short_square,peak_v_short_square,height,ExIn,line_name
324,2.6330408,0.145804842,70.0,26.28042427,93.67333333,10.67539677,256.5625736,2.437465,-72.63402598,-52.6625015259,38.0250015259,90.6875030518,E,Nr5a1-Cre
325,2.628682077,0.029715642,50.0,26.02113386,49.58552632,20.16717527,267.96875,1.4510425,-73.15529691,-55.9375038147,30.0729173024,86.0104211171,E,Scnn1a-Tg3-Cre
326,2.625872419,-0.02064219,60.00000381,7.103068563,161.302,6.199551152,118.9062896,3.244535,-63.95301902,-57.5625038147,22.3125019073,79.875005722,I,Htr3a-Cre_NO152
327,2.618767192,0.040669397,40.0,53.29051661,65.55357143,15.25469899,268.359375,0.95533,-66.960392,-56.9843788147,35.4375019073,92.421880722,E,Nr5a1-Cre
328,2.610696832,0.085194725,110.0,24.99867636,71.48125,13.98968261,166.2499598,3.728971667,-76.97983369,-51.5156259537,29.9531259537,81.4687519074,E,Scnn1a-Tg2-Cre
331,2.553382345,0.010658076,70.0,16.39793141,39.44229167,25.35349641,220.7812139,5.059038333,-70.12404051,-55.7656288147,26.7500019073,82.515630722,E,Ntsr1-Cre_GN220
332,2.54158485,0.085556506,20.0,11.17311023,63.66857143,15.70633638,226.4062911,2.124993333,-73.72787476,-56.5625022888,35.5625007629,92.1250030517,I,Vip-IRES-Cre
333,2.525407442,0.008651273,120.0000076,9.7375909,32.97844828,30.32283362,214.8437906,3.565451667,-65.2326896,-60.0687538147,35.9250022888,95.9937561035,I,Htr3a-Cre_NO152
334,2.520894012,0.039201811,70.0,20.93831709,94.51944444,10.57983366,178.57143,3.304623333,-70.25788277,-48.3906269073,43.5000019073,91.8906288146,E,Scnn1a-Tg3-Cre
335,2.517406966,0.382877383,110.0,17.8120221,264.3166667,3.78334069,189.68754,5.429855,-75.4081694,-47.4875022888,20.9062511444,68.3937534332,E,Rorb-IRES2-Cre
339,2.48716083,0.034131533,70.0,19.94754406,71.885,13.91110802,260.7813618,1.8760525,-74.81232811,-52.3281269073,19.9062509537,72.234377861,E,Scnn1a-Tg3-Cre
340,2.481112964,0.010859065,100.0,8.697152132,52.08444444,19.19959041,152.8125368,3.45648,-66.51015771,-58.4270833333,29.567709287,87.9947926203,I,Htr3a-Cre_NO152
341,2.476664955,0.016037249,50.0,13.62177228,20.35477273,49.12852693,267.9017639,1.916473333,-64.6771856,-59.5312530518,37.9062522888,97.4375053406,I,Htr3a-Cre_NO152
342,2.473613836,0.010538481,15.00000095,43.25123844,27.464,36.41130207,570.3124456,0.755971667,-61.28605652,-59.3281269073,20.25,79.5781269073,I,Sst-IRES-Cre
345,2.462998969,0.138954708,110.0,17.87433416,129.0057143,7.751594614,176.6518056,5.730646667,-60.44380188,-54.8812530518,40.2687530518,95.1500061036,E,Ntsr1-Cre
346,2.461174451,0.029989722,80.0,24.7563297,57.9271875,17.26305114,192.1871185,1.65519,-73.35472234,-52.8281269073,20.8437509537,73.671877861,E,Cux2-CreERT2
347,2.459218383,0.026013695,170.0,14.96308816,84.25272727,11.86905199,160.1562798,8.541313333,-76.33598328,-53.8250015259,35.9000022888,89.7250038147,E,Ntsr1-Cre_GN220
348,2.457392757,0.054478998,30.00000191,74.77568009,164.649,6.073526107,485.0000049,1.042565,-67.01157901,-61.7812538147,32.6250025431,94.4062563578,I,Sst-IRES-Cre
349,2.455814351,0.025906509,130.0,17.81730486,93.429,10.70331482,172.3437482,5.018031667,-72.8524065,-57.609375,33.4140634537,91.0234384537,E,Ntsr1-Cre_GN220
352,2.443328512,0.015764468,50.0,22.16585917,53.76088235,18.60088518,233.7500065,1.854701667,-67.0960071,-54.0125022888,33.3062534332,87.318755722,E,Nr5a1-Cre
353,2.443293488,0.028414687,29.99999809,90.35351092,58.0909375,17.21438908,357.1428517,1.1096575,-59.39736509,-58.11875,21.0437503815,79.1625003815,I,Gad2-IRES-Cre
354,2.431997795,0.009289293,120.0000076,14.64777892,60.18433333,16.61561979,151.5626159,5.217013333,-76.29515866,-59.0187530518,26.5125011444,85.5312541962,E,Ntsr1-Cre_GN220
357,2.396210907,0.064918935,90.0,23.29929169,91.33714286,10.94844845,263.4374644,2.33601,-73.19311479,-53.7812530518,32.0875011444,85.8687541962,E,Rorb-IRES2-Cre
359,2.387837695,0.017192776,130.0,10.57856345,41.71152174,23.97419126,139.3749987,6.362068333,-68.97993801,-63.1250019073,28.9791676203,92.1041695276,I,Htr3a-Cre_NO152
360,2.376177799,0.03492886,90.0,17.6184884,49.12289474,20.35710651,214.4642549,3.478765,-71.50211334,-58.7890644073,3.21875011921,62.0078145265,I,Sst-IRES-Cre
361,2.371819122,0.018593598,60.00000381,27.48608112,56.9271875,17.56629906,251.8748881,2.096101667,-69.93422651,-56.2708352407,36.1458358765,92.4166711172,E,Rbp4-Cre_KL100
362,2.354592213,0.031417181,190.0,13.76308293,80.31227273,12.4513971,146.0938278,7.125246667,-73.21889142,-55.2812522888,24.7562515259,80.0375038147,E,Ntsr1-Cre_GN220
363,2.350017406,0.008007519,20.0,23.19956411,42.8673913,23.32775496,358.3533628,0.751103333,-66.24072355,-68.0260429382,50.8385423024,118.864585241,I,Sst-IRES-Cre
364,2.339002606,0.10555626,50.0,14.24101983,21.231,47.10093731,291.8750029,2.16175,-68.55849906,-55.164065361,17.4140625,72.578127861,I,Htr3a-Cre_NO152
365,2.329841081,0.035674241,30.00000191,20.18794893,34.79653846,28.73849079,344.6875039,1.735276667,-62.61099696,-54.0234384537,21.4296889305,75.4531273842,I,Htr3a-Cre_NO152
367,2.318318112,0.008309021,50.0,22.68005734,41.73318182,23.96174834,206.7186757,1.559483333,-61.2652113,-54.960940361,33.7500019073,88.7109422683,E,Ntsr1-Cre_GN220
368,2.301250132,0.152209341,230.0,16.2257975,34.03,29.38583603,183.5937137,6.096065,-76.00580525,-55.0937530518,32.9500022888,88.0437553406,E,Nr5a1-Cre
369,2.297300406,0.022987504,50.0,17.65307425,43.26954545,23.11094303,180.6250049,2.996786667,-78.75416444,-54.3437530518,20.9875007629,75.3312538147,E,Nr5a1-Cre
370,2.291372618,0.006229976,90.0,21.09586122,58.665625,17.0457572,192.8124599,3.522513333,-73.03711046,-66.9375,29.9062504768,96.8437504768,E,Scnn1a-Tg3-Cre
372,2.287710574,0.054984583,70.0,19.04528862,26.07416667,38.35213653,263.7501172,2.367363333,-66.15574682,-56.1250025431,40.791668574,96.9166711171,I,Htr3a-Cre_NO152
373,2.281030373,0.00768896,40.0,16.2404434,15.98532258,62.55738631,462.5000022,1.189016667,-65.24915259,-55.5562530518,17.4687503815,73.0250034333,I,Htr3a-Cre_NO152
374,2.275918657,0.113162867,130.0,23.85437966,57.6975,17.33177347,199.3749982,4.13546,-77.79330983,-64.1796894073,23.0625009537,87.242190361,I,Sst-IRES-Cre
379,2.24156114,0.008799036,90.0,24.96162063,45.41952381,22.01696355,212.4998875,3.86626,-73.61112012,-64.6375,31.0187519073,95.6562519073,I,Sst-IRES-Cre
380,2.241327112,0.008942715,110.0,13.08764962,52.18444444,19.16279862,315.1563108,6.244046667,-72.18563843,-53.4687538147,21.5625019073,75.031255722,E,Ntsr1-Cre
381,2.241170051,0.04831053,40.0,20.89011916,88.845,11.25555743,157.0312294,1.021681667,-57.89265995,-61.8541679382,33.4010423024,95.2552102406,I,Sst-IRES-Cre
382,2.221898712,0.16775632,29.99999809,44.36234531,151.8816667,6.584073127,288.28125,0.936895,-62.36692653,-60.9140625,36.75,97.6640625,I,Sst-IRES-Cre
383,2.207537901,0.030695711,90.0,23.52708717,71.00769231,14.08298126,211.874994,3.710916667,-70.39768906,-54.0312506358,38.9583346049,92.9895852407,I,Sst-IRES-Cre
384,2.192795568,0.007598601,90.0,10.06438795,24.254,41.23031253,240.6250024,3.953923333,-66.40194113,-60.0750022888,9.43125019073,69.5062524795,I,Htr3a-Cre_NO152
387,2.164585005,0.196798784,110.0,19.23147739,124.3564286,8.041401731,178.2812898,4.494976667,-73.30446334,-62.0875030518,36.2562515259,98.3437545777,I,Sst-IRES-Cre
388,2.155255007,0.02462568,70.0,22.67967559,41.9376087,23.84494565,273.4375,3.1945225,-78.43345989,-64.3437538147,31.0156259537,95.3593797684,I,Sst-IRES-Cre
389,2.15481825,0.031973672,50.0,37.26235536,47.196,21.18823629,259.2188716,2.631693333,-66.96987915,-61.4625030518,38.7312507629,100.193753815,I,Sst-IRES-Cre
