"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","reporter_status","height","binary_neuron","firing_rate"
"5",0.542357967302534,307.1,0.155346607523105,1.08516,8.53670666666667,1.02542666666667,-47,-46.9270858764648,-55.0937525431315,209.971936,0.0337800000000001,1.08298,8.53443333333333,1.02356,40.7812538146973,42.7291692097982,42.3229179382324,136.562421917915,0.132638186216354,1.1305,-81.250005086263,210,187.833333333333,860,1.08244,8.53384666666667,1.02312,-33.96875,-33.7604179382324,-46.9375025431315,1.08612,8.55396666666667,1.1305,-47.8750038146973,-49.7291679382324,-81.250005086263,2.71890141223514,2.52813735284161,3.06070724707307,-95.5000076293945,-80.0506210327148,"Ntsr1-Cre_GN220","cre reporter positive",97.4166704813639,0,3.25626831650928
"10",0.00928929266442473,60.1843333333333,0.217394919622208,1.46886,6.24119666666667,1.025506,-49.53125,-49.2604192097982,-56.5875038146973,126.870208,0.06071,1.46659,6.23951333333333,1.02357,25.5312519073486,42.0104192097982,26.5125011444092,151.562616229057,0.149849534034729,1.251151,-77.4000030517578,120.000007629395,130.458333333333,0,1.466065,6.23904833333333,1.023142,-39.5312538146973,-40.4895833333333,-46.8125022888184,1.49474,6.27193166666667,1.251151,-55.0937538146973,-54.4479192097982,-77.4000030517578,2.43199779540174,2.5716143936217,2.38278113917378,-93.6562576293945,-76.2948379516602,"Ntsr1-Cre_GN220","cre reporter positive",83.1000049591065,0,16.6156197903109
"16",0.0476945778402227,62.894,0.159469707443475,1.118395,4.17376,1.025411,-45.6875,-46.9583358764648,-47.7625022888184,173.447264,0.0429200000000001,1.11636,4.17170833333333,1.023462,37.71875,40.0833339691162,40.4937507629395,210.468634963036,0.0526439473032951,1.411247,-77.4375045776367,70,78.7916666666667,780,1.11585,4.17120166666667,1.022979,-37.7812538146973,-35.3750025431315,-44.6812515258789,1.139235,4.20985833333333,1.411247,-48.25,-53.0833358764648,-77.4375061035156,3.23716786737683,3.03444217506621,3.60751163592337,-97.21875,-75.3036117553711,"Nr5a1-Cre","cre reporter positive",88.2562530517579,0,15.8997678633892
"23",0.0361738299881702,39.7744736842105,0.272144673314158,1.08975,1.69307,1.02447166666667,-56.0625,-54.8593769073486,-57.6145858764648,594.601088,0.023255,1.08839,1.691635,1.02325666666667,24.1875019073486,26.203125,24.1354179382324,476.562440395355,0.0150903426110744,1.83023166666667,-70.125005086263,30.0000019073486,16.7500004768372,380,1.08792,1.6911675,1.02285666666667,-44.7187538146973,-43.5625019073486,-45.6354192097982,1.089815,1.7019875,1.83023166666667,-56.2500038146973,-55.0468769073486,-70.125005086263,2.08763124465058,2.20533166477699,2.03631990100366,-101.343757629395,-66.9524688720703,"Sst-IRES-Cre","cre reporter positive",81.7500038146972,1,25.1417531741464
"31",0.0423226332033429,83.7481818181818,0.190044256197082,1.20621,5.43078166666667,1.02513166666667,-44.28125,-42.7500038146973,-50.9895846048991,243.125056,0.054805,1.2022,5.42896666666667,1.02339666666667,18.78125,32.5104179382324,21.369792620341,187.343835830688,0.0894831418991089,1.53387083333333,-79.2552121480306,90,110.208333333333,758.333384195964,1.201635,5.42846833333333,1.0229425,-36.46875,-34.0520833333333,-41.8593775431315,1.25133,5.46941166666667,1.53387083333333,-55.7812538146973,-53.2395871480306,-79.2552121480306,2.67899593469152,2.75943401092876,2.67732104720954,-96.5312576293945,-78.4394836425781,"Rbp4-Cre_KL100","cre reporter positive",72.3593772252401,0,11.9405577325966
"39",0.00915259214489316,55.5352941176471,0.278333333333333,1.21902,3.03753333333333,1.02632,-51.5000038146973,-50.3750012715658,-51.7395858764648,190.132208,0.0266600000000001,1.2154,3.0343,1.02359333333333,42.5625038146973,46.4583346048991,41.1458346048991,150.156363844872,0.0869927704334259,1.84056666666667,-66.3125025431315,50,50.3333333333333,300,1.21486,3.03375333333333,1.02313333333333,-46.0000038146973,-45.4687525431315,-47.0208346048991,1.2419,3.07524666666667,1.84056666666667,-55.84375,-54.2916692097982,-66.3125025431315,4.0431381903396,4.36522318077169,4.13871992427133,-83.9375,-66.0966186523438,"Ctgf-T2A-dgCre","cre reporter positive",92.8854204813639,0,18.0065671009427
"47",0.00311867826631323,24.9319230769231,0.484112149532711,1.08037,10.923485,1.024238,-56,-54.8541692097982,-58.4875007629395,146.467936,0.0228950000000001,1.079485,10.9223883333333,1.023351,24.6875,20.2187519073486,32.2625019073486,65.781369805336,0.0459909923374653,1.542911,-77.6187530517578,260,247.541641235352,0,1.079175,10.9220366666667,1.023046,-32.15625,-33.21875,-41.0125007629395,1.080445,10.9281616666667,1.542911,-56.15625,-56.9166692097982,-77.6187530517578,1.51533429776771,1.62254153439955,1.68827146941465,-94.1562576293945,-77.5109786987305,"Pvalb-IRES-Cre","cre reporter positive",90.7500026702881,1,40.1092204927263
"56",0.0182063105843093,52.8905555555556,0.199412639410084,1.1107,2.31538666666667,1.025009,-47.0000038146973,-48.3645858764648,-52.5312522888184,245.483136,0.0387900000000001,1.10867,2.313565,1.02327,24.25,39.5,33.1625003814697,342.343896627426,0.0631874278187752,1.598273,-71.6875045776367,50,32.3333333333333,419.999969482422,1.108095,2.31306,1.022845,-37.40625,-37.6250025431315,-43.4062522888184,1.133555,2.35563166666667,1.598273,-51.1562538146973,-54.5416692097982,-71.6875045776367,2.6471854083994,2.89224148623829,2.89991307576877,-97.7812576293945,-71.8004760742188,"Rorb-IRES2-Cre","cre reporter positive",85.6937526702881,0,18.9069672174196
"62",0.118855154862113,67.3333333333333,0.144956789297024,1.15987,5.108525,1.0248575,-53.6562538146973,-52.2812538146973,-57.5781269073486,154.351296,0.0348550000000001,1.157765,5.1066725,1.023105,40.0625038146973,43.9062519073486,38.3437519073486,158.593788743019,0.0306478515267372,1.6588925,-82.1406288146973,110,102.1875,720,1.157325,5.1062325,1.0227175,-40.7812538146973,-38.890625,-54.1406269073486,1.180555,5.1340425,1.6588925,-58.2812538146973,-56.90625,-82.1406288146973,3.32895698549413,3.49582551361315,3.8665216990509,-96.71875,-81.6837158203125,"Cux2-CreERT2","cre reporter positive",95.9218788146972,0,14.8514851485149
"68",0.00489873821169162,34.1567857142857,0.535286713328499,1.121335,5.49869666666667,1.02443,-65.46875,-65.312505086263,-67.3125045776367,184.539952,0.0141150000000001,1.12026,5.49777,1.02337,22.53125,33.8541692097982,29.2875019073486,182.500004768372,0.11977082490921,1.043153,-72.8187561035156,100,111.958333333333,380,1.1199,5.49740333333333,1.023031,-45.53125,-44.3229204813639,-46.4000007629395,1.121475,5.49880166666667,1.043153,-65.7187576293945,-65.4479166666667,-72.8187561035156,1.7103609361433,1.69346096878831,1.70693600765492,-92.1875,-71.7014846801758,"Sst-IRES-Cre","cre reporter positive",96.6000064849853,1,29.2767594809649
